timeStamp,rawData
0,149
1388,149
2776,149
4164,149
5552,149
6951,149
8328,149
9716,149
11101,149
12492,149
13880,149
15268,149
16656,148
18041,148
20210,148
20820,148
22208,148
23596,149
24984,149
26372,149
27760,149
29148,149
30536,149
31989,149
33312,148
34700,148
36088,148
37476,148
38864,148
40252,148
41640,148
43150,149
44522,149
45808,148
47192,149
48580,149
49968,148
51526,148
52744,148
54132,148
55520,148
56924,148
58296,149
59684,149
61072,149
62460,149
63848,149
65236,149
66624,150
68012,149
69400,149
70788,149
72176,149
73564,149
74952,149
76340,149
77728,149
79116,149
80504,149
81997,149
83280,149
84668,149
86056,149
87444,149
88832,149
90220,149
91650,149
92996,149
94384,149
95772,149
97160,149
98548,149
99936,149
101324,148
102712,149
104100,149
105488,149
106888,149
108264,149
109652,149
111040,149
112428,149
113816,149
115204,149
116592,149
117980,149
119368,149
120756,149
122144,149
123532,149
124920,149
126308,149
127696,149
129084,149
130472,149
131897,149
133248,149
134636,149
136024,149
137412,149
138800,149
140188,149
141576,149
142964,149
144353,149
145922,149
147199,149
148520,149
149904,149
151292,149
153063,148
154125,149
155460,149
156860,149
158232,149
159620,149
161008,149
162396,149
163784,149
165172,149
166560,149
167948,149
169336,149
170724,149
172112,148
173500,148
174888,148
176276,148
177664,148
179052,148
180440,149
181839,148
183216,148
184604,149
185992,148
187380,148
188768,148
190156,148
191547,148
192951,148
194320,148
195708,148
197096,148
198484,148
199872,148
201260,148
202648,148
204036,149
205424,149
206824,149
208200,149
209588,149
210976,149
212364,149
213752,149
215140,149
216528,149
217916,149
219304,149
220692,149
222080,149
223468,149
224856,149
226244,149
227632,149
229020,149
230408,149
231850,149
233184,149
234572,149
235960,149
237348,149
238736,149
240124,149
241512,148
242900,149
244288,149
245676,149
247067,149
248610,148
249898,149
251232,148
252616,148
254004,148
255392,148
256795,148
258168,148
259556,148
260944,148
262332,149
263720,149
265108,149
266496,149
267884,149
269272,149
270660,149
272048,149
273459,149
274824,149
276212,149
277600,149
278988,149
280376,149
281775,149
283152,149
284540,149
285928,149
287316,149
288704,149
290092,149
291480,149
292868,149
294275,149
295644,149
297032,149
298420,149
299808,149
301196,149
302584,149
305108,149
305385,149
306777,149
308136,149
309524,149
310909,149
312367,149
313692,149
315076,149
316464,149
317852,149
319240,149
320628,149
322016,149
323401,149
324792,149
326180,149
327568,149
328956,149
330344,149
331797,149
333117,149
334508,149
335896,149
337284,149
338672,149
340060,149
341448,149
342836,149
344224,148
345609,149
347000,149
348388,149
349774,149
351190,149
352552,149
353937,149
355328,149
356729,149
358104,149
359492,149
360877,149
362268,149
363653,149
365044,149
366429,149
367820,148
369208,148
370596,148
371984,148
373372,149
374760,149
376148,149
377536,149
378924,149
380309,149
381749,149
383088,149
384476,149
385864,149
387252,149
388640,149
390025,149
391416,149
392801,149
394192,149
395620,149
396968,149
398353,149
399744,148
401132,149
402520,149
403908,148
405293,148
406699,148
408072,148
409460,148
410845,148
412236,149
413624,149
415012,149
416400,149
417785,149
419176,149
420561,149
421952,149
423340,149
424728,149
426906,148
427504,149
428892,149
430280,149
431733,149
433056,149
434444,149
435832,149
437220,149
438608,149
439996,149
441384,149
442772,149
444160,149
445548,149
446936,149
448324,149
449712,149
451100,149
452647,149
453936,149
455268,150
456671,149
459081,149
459443,149
460881,149
462208,149
463592,149
464980,149
466368,149
467756,149
469144,149
470532,149
471920,148
473305,149
474696,149
476084,148
477472,149
478860,149
480248,149
481667,149
483024,149
484412,148
485800,149
487188,149
488576,148
489964,149
491352,149
492740,149
494128,149
495519,149
496938,149
498292,149
499680,149
501068,149
502456,149
503844,149
505232,149
506633,149
508008,149
509396,149
510784,149
512172,149
513560,149
514948,149
516336,149
517724,149
519112,149
520500,149
521888,149
523276,149
524664,149
526052,148
527440,148
528828,148
530216,148
531665,149
532992,149
534380,148
535768,148
537156,148
538544,148
539932,148
541320,148
542708,148
544096,148
545484,148
546872,148
548260,149
549648,148
551036,148
552424,149
553812,148
555226,149
556599,148
557976,148
559364,148
560752,148
562140,148
563528,148
564916,148
566304,149
567692,148
569080,148
570468,149
571856,149
573244,148
574632,149
576020,149
577408,148
578796,149
581001,149
581572,148
582960,148
584348,148
585736,149
587124,148
588512,149
589900,149
591288,148
592676,148
594064,149
595452,149
596843,148
598278,148
599616,149
601004,148
602392,149
603780,149
605168,149
606642,149
607944,149
609332,149
610720,149
613251,146
613512,149
615025,149
616276,149
617660,149
619048,149
620436,149
621824,149
623212,149
624600,149
625988,149
627376,149
628764,149
630152,149
631622,149
632928,149
634316,149
635704,149
637092,149
638480,149
639868,149
641256,149
642644,149
644032,149
645420,149
646808,149
648196,149
649584,149
650972,149
652360,149
653748,149
655136,149
656561,149
657909,149
659300,149
660685,149
662079,149
663461,149
664852,149
666237,149
667628,149
669016,149
670404,149
671792,149
673180,149
674568,149
675956,149
677347,149
678729,149
680120,149
681520,149
682896,149
684284,149
685669,149
687060,149
688445,149
689836,149
691221,149
692612,148
694000,148
695388,148
696776,149
698167,149
