timeStamp,rawData
0,150
1214,150
2429,150
3643,150
4858,150
6070,150
7287,149
8501,149
9716,150
10930,149
12142,150
13359,150
14574,149
15788,150
17061,149
18230,149
19432,150
20646,150
21861,150
23073,150
24290,150
25504,150
26719,150
27933,150
29148,150
30362,150
31577,149
32791,150
34006,149
35220,149
36435,149
37649,150
38864,150
40078,150
41293,150
42507,150
43733,150
44936,150
46151,150
47365,151
48580,150
49794,150
51009,150
52223,150
53438,150
54652,150
55867,150
57081,150
58503,150
59577,150
60729,150
61939,150
63154,150
64368,150
65583,150
66797,151
68031,150
69226,150
70441,151
71653,151
72870,151
74084,151
75299,151
76513,151
77725,151
78942,151
80157,151
81371,151
82586,151
83800,150
85015,151
86229,151
87444,151
88658,151
89873,151
91483,149
92446,151
93539,151
94728,151
95945,150
97160,151
98374,151
99589,151
100803,151
102018,151
103232,151
104447,151
105659,151
106876,151
108090,151
109305,151
110519,151
111734,151
112948,151
114163,151
115377,151
116592,151
117841,151
119091,150
120235,150
121450,150
122664,150
123879,150
125093,150
126308,150
127522,150
128737,150
129951,150
131166,150
132380,150
133595,150
134809,150
136024,150
137238,150
138453,150
139667,151
140882,151
142096,150
143330,150
144525,151
145740,150
146954,150
148169,150
149383,150
150598,150
151812,150
153027,150
154241,150
155456,150
156670,150
157885,150
159099,150
160314,150
161619,150
162758,150
164013,150
165176,150
166386,151
167601,150
168894,150
170030,151
171244,150
172459,150
173677,150
174885,150
176102,150
177314,150
178531,150
179746,150
180960,150
182175,150
183389,150
184604,149
185816,150
187033,150
188247,149
189462,150
190676,150
191888,150
193129,150
194320,150
195534,150
196749,150
197963,150
199178,150
200392,150
201607,150
202821,150
204036,150
205250,150
206465,150
207679,150
208894,150
210108,150
211323,150
212568,150
213752,150
214966,150
216181,150
217395,150
218695,150
219822,150
221039,150
222253,150
223468,150
224682,150
225897,150
227122,150
228326,150
229540,150
230755,150
231969,150
233184,150
234398,150
235613,150
236827,150
238042,149
239256,150
240471,150
241685,150
244198,150
244350,150
245329,150
246664,150
247762,150
248970,150
250187,150
251401,150
252613,150
253830,151
255045,151
256259,151
257474,150
258686,150
259903,150
261117,150
262332,150
263588,150
264761,150
265975,150
267190,150
268417,150
269619,150
270833,150
272048,150
273262,150
274474,150
275691,150
276906,151
278120,150
279335,150
280549,150
281764,150
282978,151
284193,150
285407,151
286622,151
287836,151
289051,151
290265,151
291480,150
292694,151
293921,151
295123,150
296338,150
297552,150
298764,150
299981,151
301196,151
302410,151
303622,151
304839,151
306051,151
307268,151
308483,151
309697,151
310909,151
312126,151
313341,151
314555,151
315770,151
316984,151
318210,150
319456,150
320628,150
321842,150
323057,150
324269,150
325486,150
326700,150
327915,150
329129,150
330344,150
331558,150
332773,151
333987,150
335202,151
336416,151
337631,150
338845,150
340060,151
341274,150
342489,150
343712,150
344918,150
346130,150
347347,150
348559,150
349776,150
350990,150
352205,150
353419,150
354634,150
355848,150
357060,150
358277,150
359492,150
360704,150
361921,150
363133,151
365274,150
365564,150
366791,150
368145,150
369212,150
370422,150
371637,150
372851,150
374066,150
375280,150
376495,150
377709,150
378924,150
380138,150
381353,150
382567,150
383782,150
384996,150
386211,150
387425,150
388640,150
389854,150
391069,150
392283,150
393513,150
394712,150
397092,150
397287,150
398415,151
399574,150
400785,150
401999,150
403214,150
404428,150
405643,150
406857,150
408072,150
409286,150
410501,150
411715,150
412930,150
414144,150
415359,150
416573,150
417791,150
419033,150
420251,150
421431,150
422646,150
423860,150
425075,150
426289,150
427504,150
428718,150
429933,150
431147,150
432359,150
433576,150
434791,150
436005,150
437220,150
438434,150
439649,150
440863,150
442078,150
443303,150
444504,150
445721,150
446936,150
448150,150
449365,150
450579,150
451794,150
453008,151
454223,150
455437,150
456652,150
457866,150
459078,150
460295,150
461510,150
462724,150
463939,150
465153,150
466368,150
467612,151
468859,150
470011,150
471226,150
472438,151
473655,150
474869,150
476084,151
477298,150
478513,150
479727,151
480942,150
482156,151
483371,151
484585,150
485800,151
487014,151
488229,150
489443,151
490658,151
491872,150
493098,151
494299,150
495516,150
496730,150
497945,150
499159,150
500374,150
501588,150
502803,150
504017,150
505232,151
506446,151
507661,150
508875,150
510090,150
511304,150
512519,150
513733,151
514948,151
516162,151
518202,150
518591,150
519806,151
521067,151
522235,151
523449,151
524664,150
525878,151
527093,150
528307,150
529522,150
530736,151
531951,150
533165,150
534380,150
535594,150
536809,150
538023,150
539238,151
540452,151
541667,151
542893,151
544096,151
545310,151
546525,150
547739,150
550010,150
550169,151
551443,151
552601,150
553812,151
555026,151
556241,151
557455,150
558670,150
559884,151
561099,151
562317,150
563525,151
564742,151
565957,150
567171,151
568413,151
569603,151
570837,151
572029,151
573244,151
574458,151
575673,151
576887,151
578102,151
579316,151
580531,151
581745,150
582960,151
584172,151
585389,150
586603,150
587818,150
589032,150
590247,150
591461,150
592676,150
593964,150
595105,150
596319,150
597534,150
598748,150
599963,150
601177,150
602392,150
603606,150
604821,150
606035,150
607250,150
608464,150
609679,150
610893,150
612108,150
613322,150
614537,150
615751,150
616966,150
618195,150
619395,150
620609,151
621862,151
623038,151
624250,151
625467,150
626682,150
627896,151
629111,150
630325,151
631540,150
632754,150
633969,150
635183,150
636398,150
637612,150
638827,150
640041,150
641256,150
642470,150
643697,150
644899,150
646114,150
647328,150
648543,150
649757,150
650972,150
652186,150
653401,150
654615,150
655830,150
657044,150
658259,150
659473,150
660688,150
661902,150
663117,150
664331,150
665546,150
666760,150
667986,150
669189,150
671222,150
671618,150
673006,150
674129,150
675266,151
676476,150
677691,150
678905,151
680120,150
681334,151
682549,151
683763,151
684978,150
686192,151
687407,150
688621,150
689836,150
691050,150
692265,151
693506,151
694694,151
695908,151
697123,151
698337,151
699552,151
700766,151
703107,151
703262,151
704470,151
705628,150
706839,151
708053,150
709268,150
710482,151
711697,151
712911,150
714126,150
715340,151
716552,150
717772,150
719124,150
720198,151
721413,151
722663,151
723842,151
725056,151
726271,151
727485,150
728700,150
729914,151
731126,150
732343,151
733558,150
734772,150
735987,150
737201,151
738416,150
739630,151
740845,150
742059,150
743286,150
744488,151
745703,150
746917,150
748132,150
749346,151
750561,150
751775,150
752990,150
754204,150
755416,150
756633,150
757848,150
759062,150
760277,150
761491,150
762706,150
763920,151
765135,150
766349,150
767564,150
768827,150
769993,150
771207,150
772422,150
773636,150
774881,150
776065,150
777277,150
778494,150
779706,150
780923,150
782138,150
783352,150
784567,150
785781,150
786996,150
788214,150
789422,150
790639,150
791854,150
793088,150
794280,150
795497,150
796709,150
797926,150
799138,150
800355,150
801567,150
802784,150
803999,150
805211,150
806428,150
807642,150
808857,150
810071,150
811286,150
812500,150
813715,150
814929,150
816144,150
817358,150
818584,150
819787,150
821002,150
822216,150
824267,150
824645,150
825860,150
827074,150
828289,150
829503,151
830718,151
831932,150
833147,150
834361,150
835576,150
836790,150
838005,150
839219,150
840434,150
841648,150
842928,150
844077,150
845292,150
846506,150
847721,150
848935,150
850150,150
851364,150
